y_token_train,y_list,GPT_ans,Hobert_ans,GPT,HeBERT
82,Positive,Positive,Positive,TRUE,TRUE
83,Positive,Neutral,Positive,FALSE,TRUE
84,Positive,Positive,Positive,TRUE,TRUE
85,Negative,Positive,Negative,FALSE,TRUE
86,Positive,Neutral,Negative,FALSE,FALSE
87,Positive,Negative,Positive,FALSE,TRUE
88,Positive,Positive,Positive,TRUE,TRUE
89,Positive,Positive,Positive,TRUE,TRUE
90,Positive,Negative,Negative,FALSE,FALSE
91,Positive,Positive,Positive,TRUE,TRUE
92,Positive,Positive,Negative,TRUE,FALSE
93,Positive,Positive,Positive,TRUE,TRUE
94,Positive,Neutral,Negative,FALSE,FALSE
95,Positive,Positive,Positive,TRUE,TRUE
96,Negative,Neutral,Negative,FALSE,TRUE
97,Positive,Neutral,Positive,FALSE,TRUE
98,Positive,Neutral,Negative,FALSE,FALSE
99,Negative,Negative,Positive,TRUE,FALSE
100,Positive,Positive,Negative,TRUE,FALSE
101,Positive,Positive,Positive,TRUE,TRUE
102,Positive,Positive,Positive,TRUE,TRUE
103,Negative,Neutral,Negative,FALSE,TRUE
104,Negative,Negative,Negative,TRUE,TRUE
105,Positive,Positive,Positive,TRUE,TRUE
106,Positive,Negative,Negative,FALSE,FALSE
107,Negative,Negative,Negative,TRUE,TRUE
108,Positive,Positive,Positive,TRUE,TRUE
109,Negative,Negative,Negative,TRUE,TRUE
110,Positive,Negative,Negative,FALSE,FALSE
111,Positive,Positive,Positive,TRUE,TRUE
112,Neutral,Neutral,Negative,TRUE,FALSE
113,Positive,Positive,Positive,TRUE,TRUE
114,Positive,Positive,Positive,TRUE,TRUE
115,Positive,Positive,Positive,TRUE,TRUE
116,Positive,Positive,Positive,TRUE,TRUE
117,Negative,Positive,Negative,FALSE,TRUE
118,Negative,Negative,Negative,TRUE,TRUE
119,Positive,Positive,Positive,TRUE,TRUE
120,Positive,Neutral,Positive,FALSE,TRUE
121,Positive,Neutral,Positive,FALSE,TRUE
122,Positive,Positive,Negative,TRUE,FALSE
123,Positive,Negative,Positive,FALSE,TRUE
124,Positive,Neutral,Negative,FALSE,FALSE
125,Negative,Negative,Negative,TRUE,TRUE
126,Positive,Positive,Negative,TRUE,FALSE
127,Positive,Neutral,Positive,FALSE,TRUE
128,Positive,Positive,Negative,TRUE,FALSE
129,Positive,Positive,Positive,TRUE,TRUE
130,Positive,Positive,Positive,TRUE,TRUE
131,Negative,Neutral,Negative,FALSE,TRUE
132,Positive,Neutral,Positive,FALSE,TRUE
133,Negative,Negative,Negative,TRUE,TRUE
134,Positive,Positive,Positive,TRUE,TRUE
135,Negative,Negative,Negative,TRUE,TRUE
136,Positive,Positive,Positive,TRUE,TRUE
137,Negative,Negative,Negative,TRUE,TRUE
138,Positive,Negative,Negative,FALSE,FALSE
139,Positive,Positive,Positive,TRUE,TRUE
140,Positive,Neutral,Negative,FALSE,FALSE
141,Positive,Positive,Positive,TRUE,TRUE
142,Positive,Positive,Positive,TRUE,TRUE
143,Positive,Positive,Positive,TRUE,TRUE
144,Positive,Neutral,Positive,FALSE,TRUE
145,Positive,Neutral,Positive,FALSE,TRUE
146,Positive,Positive,Positive,TRUE,TRUE
147,Negative,Neutral,Negative,FALSE,TRUE
148,Positive,Positive,Negative,TRUE,FALSE
149,Positive,Positive,Positive,TRUE,TRUE
150,Positive,Positive,Positive,TRUE,TRUE
151,Positive,Positive,Positive,TRUE,TRUE
152,Positive,Neutral,Negative,FALSE,FALSE
153,Positive,Neutral,Positive,FALSE,TRUE
154,Negative,Negative,Negative,TRUE,TRUE
155,Negative,Neutral,Negative,FALSE,TRUE
156,Positive,Negative,Negative,FALSE,FALSE
157,Negative,Negative,Negative,TRUE,TRUE
158,Positive,Positive,Positive,TRUE,TRUE
159,Positive,Negative,Negative,FALSE,FALSE
160,Negative,Negative,Negative,TRUE,TRUE
161,Negative,Negative,Negative,TRUE,TRUE
162,Positive,Positive,Positive,TRUE,TRUE
163,Negative,Neutral,Negative,FALSE,TRUE
164,Positive,Positive,Positive,TRUE,TRUE
165,Negative,Negative,Negative,TRUE,TRUE
166,Negative,Negative,Negative,TRUE,TRUE
167,Negative,Neutral,Negative,FALSE,TRUE
168,Negative,Neutral,Negative,FALSE,TRUE
169,Positive,Positive,Negative,TRUE,FALSE
170,Negative,Negative,Positive,TRUE,FALSE
171,Positive,Neutral,Negative,FALSE,FALSE
172,Negative,Negative,Negative,TRUE,TRUE
173,Positive,Neutral,Positive,FALSE,TRUE
174,Neutral,Neutral,Neutral,TRUE,TRUE
175,Positive,Negative,Negative,FALSE,FALSE
176,Positive,Positive,Positive,TRUE,TRUE
177,Positive,Positive,Positive,TRUE,TRUE
178,Positive,Positive,Positive,TRUE,TRUE
179,Negative,Negative,Negative,TRUE,TRUE
180,Positive,Positive,Positive,TRUE,TRUE
181,Positive,Positive,Positive,TRUE,TRUE
182,Negative,Neutral,Negative,FALSE,TRUE
183,Positive,Neutral,Positive,FALSE,TRUE
184,Positive,Positive,Positive,TRUE,TRUE
185,Negative,Neutral,Negative,FALSE,TRUE
186,Negative,Negative,Negative,TRUE,TRUE
187,Positive,Negative,Negative,FALSE,FALSE
188,Positive,Positive,Positive,TRUE,TRUE
189,Negative,Negative,Negative,TRUE,TRUE
190,Negative,Neutral,Negative,FALSE,TRUE
191,Positive,Negative,Negative,FALSE,FALSE
192,Positive,Neutral,Positive,FALSE,TRUE
193,Positive,Positive,Positive,TRUE,TRUE
194,Positive,Positive,Positive,TRUE,TRUE
195,Positive,Positive,Positive,TRUE,TRUE
196,Positive,Positive,Positive,TRUE,TRUE
197,Positive,Negative,Negative,FALSE,FALSE
198,Positive,Neutral,Positive,FALSE,TRUE
199,Positive,Positive,Positive,TRUE,TRUE
200,Positive,Positive,Positive,TRUE,TRUE
201,Negative,Negative,Negative,TRUE,TRUE
202,Positive,Positive,Positive,TRUE,TRUE
203,Negative,Negative,Negative,TRUE,TRUE
204,Positive,Positive,Negative,TRUE,FALSE
205,Positive,Positive,Positive,TRUE,TRUE
206,Positive,Neutral,Positive,FALSE,TRUE
207,Positive,Positive,Positive,TRUE,TRUE
208,Positive,Negative,Negative,FALSE,FALSE
209,Negative,Negative,Negative,TRUE,TRUE
210,Positive,Positive,Positive,TRUE,TRUE
211,Positive,Positive,Positive,TRUE,TRUE
212,Positive,Positive,Positive,TRUE,TRUE
213,Positive,Positive,Positive,TRUE,TRUE
214,Positive,Negative,Negative,FALSE,FALSE
215,Negative,Negative,Negative,TRUE,TRUE
216,Negative,Neutral,Negative,FALSE,TRUE
217,Positive,Neutral,Negative,FALSE,FALSE
218,Positive,Positive,Positive,TRUE,TRUE
219,Positive,Negative,Negative,FALSE,FALSE
220,Positive,Neutral,Positive,FALSE,TRUE
221,Positive,Positive,Positive,TRUE,TRUE
222,Positive,Positive,Positive,TRUE,TRUE
223,Negative,Neutral,Negative,FALSE,TRUE
224,Positive,Positive,Positive,TRUE,TRUE
225,Positive,Positive,Positive,TRUE,TRUE
226,Positive,Positive,Positive,TRUE,TRUE
227,Positive,Neutral,Positive,FALSE,TRUE
228,Positive,Negative,Negative,FALSE,FALSE
229,Positive,Neutral,Positive,FALSE,TRUE
230,Positive,Positive,Positive,TRUE,TRUE
231,Positive,Neutral,Positive,FALSE,TRUE
232,Positive,Neutral,Positive,FALSE,TRUE
233,Negative,Negative,Negative,TRUE,TRUE
234,Positive,Positive,Positive,TRUE,TRUE
235,Positive,Neutral,Positive,FALSE,TRUE
236,Positive,Negative,Negative,FALSE,FALSE
237,Positive,Negative,Negative,FALSE,FALSE
238,Positive,Positive,Positive,TRUE,TRUE
239,Positive,Positive,Positive,TRUE,TRUE
240,Negative,Positive,Positive,FALSE,FALSE
241,Negative,Negative,Negative,TRUE,TRUE
242,Negative,Neutral,Negative,FALSE,TRUE
243,Positive,Positive,Positive,TRUE,TRUE
244,Positive,Positive,Positive,TRUE,TRUE
245,Negative,Negative,Negative,TRUE,TRUE
246,Positive,Neutral,Positive,FALSE,TRUE
247,Positive,Positive,Positive,TRUE,TRUE
248,Positive,Negative,Positive,FALSE,TRUE
249,Positive,Positive,Positive,TRUE,TRUE
250,Positive,Positive,Positive,TRUE,TRUE
251,Positive,Negative,Negative,FALSE,FALSE
252,Negative,Neutral,Negative,FALSE,TRUE
253,Positive,Negative,Negative,FALSE,FALSE
254,Positive,Positive,Positive,TRUE,TRUE
255,Positive,Negative,Negative,FALSE,FALSE
256,Positive,Positive,Positive,TRUE,TRUE
257,Negative,Neutral,Negative,FALSE,TRUE
258,Positive,Negative,Negative,FALSE,FALSE
259,Negative,Neutral,Negative,FALSE,TRUE
260,Positive,Positive,Positive,TRUE,TRUE
261,Positive,Neutral,Negative,FALSE,FALSE
262,Negative,Negative,Negative,TRUE,TRUE
263,Negative,Negative,Negative,TRUE,TRUE
264,Negative,Negative,Negative,TRUE,TRUE
265,Negative,Negative,Negative,TRUE,TRUE
266,Negative,Negative,Negative,TRUE,TRUE
267,Negative,Negative,Negative,TRUE,TRUE
268,Positive,Positive,Positive,TRUE,TRUE
269,Negative,Negative,Negative,TRUE,TRUE
270,Positive,Neutral,Negative,FALSE,FALSE
271,Negative,Negative,Negative,TRUE,TRUE
272,Negative,Negative,Negative,TRUE,TRUE
273,Positive,Negative,Negative,FALSE,FALSE
274,Positive,Positive,Positive,TRUE,TRUE
275,Positive,Positive,Positive,TRUE,TRUE
276,Positive,Neutral,Neutral,FALSE,FALSE
277,Negative,Negative,Negative,TRUE,TRUE
278,Positive,Positive,Positive,TRUE,TRUE
279,Positive,Positive,Positive,TRUE,TRUE
280,Negative,Negative,Negative,TRUE,TRUE
281,Positive,Negative,Negative,FALSE,FALSE
282,Negative,Neutral,Negative,FALSE,TRUE
283,Positive,Positive,Positive,TRUE,TRUE
284,Positive,Neutral,Positive,FALSE,TRUE
285,Positive,Positive,Positive,TRUE,TRUE
286,Positive,Positive,Negative,TRUE,FALSE
287,Positive,Positive,Positive,TRUE,TRUE
288,Positive,Negative,Positive,FALSE,TRUE
289,Negative,Negative,Negative,TRUE,TRUE
290,Positive,Neutral,Positive,FALSE,TRUE
291,Positive,Neutral,Positive,FALSE,TRUE
292,Positive,Positive,Positive,TRUE,TRUE
293,Positive,Neutral,Negative,FALSE,FALSE
294,Negative,Negative,Negative,TRUE,TRUE
295,Negative,Negative,Positive,TRUE,FALSE
296,Negative,Negative,Negative,TRUE,TRUE
297,Positive,Negative,Positive,FALSE,TRUE
298,Positive,Positive,Positive,TRUE,TRUE
299,Negative,Neutral,Negative,FALSE,TRUE
300,Positive,Neutral,Positive,FALSE,TRUE
301,Positive,Positive,Positive,TRUE,TRUE
302,Negative,Neutral,Negative,FALSE,TRUE
303,Negative,Negative,Negative,TRUE,TRUE
304,Positive,Negative,Positive,FALSE,TRUE
305,Positive,Positive,Positive,TRUE,TRUE
306,Positive,Neutral,Negative,FALSE,FALSE
307,Positive,Positive,Positive,TRUE,TRUE
308,Positive,Positive,Positive,TRUE,TRUE
309,Positive,Negative,Positive,FALSE,TRUE
310,Positive,Positive,Positive,TRUE,TRUE
311,Positive,Positive,Positive,TRUE,TRUE
312,Positive,Positive,Positive,TRUE,TRUE
313,Negative,Neutral,Negative,FALSE,TRUE
314,Positive,Positive,Negative,TRUE,FALSE
315,Positive,Positive,Positive,TRUE,TRUE
316,Positive,Positive,Positive,TRUE,TRUE
317,Negative,Negative,Negative,TRUE,TRUE
318,Positive,Positive,Positive,TRUE,TRUE
319,Positive,Positive,Positive,TRUE,TRUE
320,Positive,Positive,Positive,TRUE,TRUE
321,Positive,Positive,Positive,TRUE,TRUE
322,Positive,Positive,Positive,TRUE,TRUE
323,Positive,Neutral,Positive,FALSE,TRUE
324,Negative,Negative,Negative,TRUE,TRUE
325,Positive,Negative,Negative,FALSE,FALSE
326,Negative,Negative,Negative,TRUE,TRUE
327,Positive,Neutral,Negative,FALSE,FALSE
328,Positive,Negative,Negative,FALSE,FALSE
329,Positive,Neutral,Negative,FALSE,FALSE
330,Positive,Positive,Positive,TRUE,TRUE
331,Negative,Negative,Negative,TRUE,TRUE
332,Positive,Neutral,Positive,FALSE,TRUE
333,Positive,Positive,Positive,TRUE,TRUE
334,Negative,Negative,Negative,TRUE,TRUE
335,Positive,Negative,Positive,FALSE,TRUE
336,Negative,Negative,Negative,TRUE,TRUE
337,Positive,Negative,Positive,FALSE,TRUE
338,Negative,Negative,Negative,TRUE,TRUE
339,Positive,Positive,Positive,TRUE,TRUE
340,Negative,Neutral,Negative,FALSE,TRUE
341,Negative,Neutral,Negative,FALSE,TRUE
342,Positive,Positive,Positive,TRUE,TRUE
343,Positive,Negative,Negative,FALSE,FALSE
344,Positive,Neutral,Positive,FALSE,TRUE
345,Negative,Negative,Negative,TRUE,TRUE
346,Positive,Neutral,Negative,FALSE,FALSE
347,Positive,Neutral,Positive,FALSE,TRUE
348,Positive,Positive,Positive,TRUE,TRUE
349,Negative,Negative,Negative,TRUE,TRUE
350,Positive,Neutral,Negative,FALSE,FALSE
351,Positive,Neutral,Positive,FALSE,TRUE
352,Positive,Neutral,Negative,FALSE,FALSE
353,Positive,Positive,Negative,TRUE,FALSE
354,Negative,Negative,Negative,TRUE,TRUE
355,Negative,Negative,Negative,TRUE,TRUE
356,Negative,Negative,Negative,TRUE,TRUE
357,Positive,Neutral,Negative,FALSE,FALSE
358,Positive,Negative,Positive,FALSE,TRUE
359,Positive,Positive,Positive,TRUE,TRUE
360,Neutral,Neutral,Negative,TRUE,FALSE
361,Positive,Neutral,Positive,FALSE,TRUE
362,Negative,Neutral,Negative,FALSE,TRUE
363,Positive,Positive,Positive,TRUE,TRUE
364,Positive,Positive,Positive,TRUE,TRUE
365,Positive,Positive,Positive,TRUE,TRUE
366,Positive,Neutral,Positive,FALSE,TRUE
367,Positive,Negative,Negative,FALSE,FALSE
368,Positive,Positive,Positive,TRUE,TRUE
369,Positive,Positive,Positive,TRUE,TRUE
370,Negative,Neutral,Negative,FALSE,TRUE
371,Positive,Negative,Negative,FALSE,FALSE
372,Negative,Negative,Negative,TRUE,TRUE
373,Positive,Neutral,Positive,FALSE,TRUE
374,Positive,Positive,Negative,TRUE,FALSE
375,Positive,Positive,Positive,TRUE,TRUE
376,Positive,Neutral,Positive,FALSE,TRUE
377,Negative,Negative,Negative,TRUE,TRUE
378,Positive,Positive,Negative,TRUE,FALSE
379,Negative,Negative,Negative,TRUE,TRUE
380,Positive,Negative,Negative,FALSE,FALSE
381,Positive,Positive,Negative,TRUE,FALSE
382,Positive,Positive,Positive,TRUE,TRUE
383,Positive,Negative,Negative,FALSE,FALSE
384,Negative,Negative,Negative,TRUE,TRUE
385,Positive,Neutral,Negative,FALSE,FALSE
386,Negative,Neutral,Negative,FALSE,TRUE
387,Positive,Positive,Positive,TRUE,TRUE
388,Positive,Negative,Negative,FALSE,FALSE
389,Positive,Positive,Positive,TRUE,TRUE
390,Positive,Positive,Positive,TRUE,TRUE
391,Negative,Negative,Negative,TRUE,TRUE
392,Positive,Positive,Negative,TRUE,FALSE
393,Positive,Neutral,Negative,FALSE,FALSE
394,Positive,Positive,Positive,TRUE,TRUE
395,Positive,Positive,Positive,TRUE,TRUE
396,Positive,Positive,Positive,TRUE,TRUE
397,Neutral,Negative,Negative,FALSE,FALSE
398,Positive,Negative,Negative,FALSE,FALSE
399,Positive,Neutral,Negative,FALSE,FALSE
400,Positive,Positive,Positive,TRUE,TRUE
401,Positive,Positive,Positive,TRUE,TRUE
402,Negative,Negative,Negative,TRUE,TRUE
403,Positive,Positive,Positive,TRUE,TRUE
404,Positive,Negative,Negative,FALSE,FALSE
405,Positive,Neutral,Positive,FALSE,TRUE
406,Negative,Negative,Negative,TRUE,TRUE
407,Positive,Negative,Negative,FALSE,FALSE
408,Neutral,Negative,Negative,FALSE,FALSE
409,Positive,Positive,Positive,TRUE,TRUE
410,Positive,Positive,Positive,TRUE,TRUE
411,Positive,Positive,Positive,TRUE,TRUE
412,Negative,Neutral,Negative,FALSE,TRUE
413,Positive,Neutral,Neutral,FALSE,FALSE
414,Positive,Positive,Positive,TRUE,TRUE
415,Negative,Negative,Negative,TRUE,TRUE
416,Positive,Positive,Negative,TRUE,FALSE
417,Positive,Negative,Negative,FALSE,FALSE
418,Positive,Positive,Positive,TRUE,TRUE
419,Positive,Neutral,Positive,FALSE,TRUE
420,Positive,Positive,Positive,TRUE,TRUE
421,Positive,Neutral,Negative,FALSE,FALSE
422,Positive,Positive,Positive,TRUE,TRUE
423,Positive,Positive,Positive,TRUE,TRUE
424,Positive,Positive,Positive,TRUE,TRUE
425,Negative,Negative,Negative,TRUE,TRUE
426,Positive,Positive,Positive,TRUE,TRUE
427,Positive,Positive,Positive,TRUE,TRUE
428,Positive,Positive,Positive,TRUE,TRUE
429,Negative,Neutral,Negative,FALSE,TRUE
430,Positive,Neutral,Positive,FALSE,TRUE
431,Positive,Positive,Positive,TRUE,TRUE
432,Positive,Positive,Positive,TRUE,TRUE
433,Positive,Positive,Negative,TRUE,FALSE
434,Positive,Neutral,Negative,FALSE,FALSE
435,Negative,Negative,Positive,TRUE,FALSE
436,Positive,Positive,Positive,TRUE,TRUE
437,Negative,Negative,Negative,TRUE,TRUE
438,Positive,Negative,Negative,FALSE,FALSE
439,Positive,Positive,Positive,TRUE,TRUE
440,Negative,Negative,Negative,TRUE,TRUE
441,Negative,Neutral,Negative,FALSE,TRUE
442,Positive,Positive,Positive,TRUE,TRUE
443,Positive,Negative,Positive,FALSE,TRUE
444,Positive,Positive,Negative,TRUE,FALSE
445,Negative,Negative,Negative,TRUE,TRUE
446,Positive,Positive,Positive,TRUE,TRUE
447,Positive,Positive,Positive,TRUE,TRUE
448,Positive,Neutral,Positive,FALSE,TRUE
449,Positive,Neutral,Positive,FALSE,TRUE
450,Negative,Negative,Negative,TRUE,TRUE
451,Negative,Negative,Negative,TRUE,TRUE
452,Positive,Positive,Positive,TRUE,TRUE
453,Positive,Neutral,Positive,FALSE,TRUE
454,Positive,Neutral,Neutral,FALSE,FALSE
455,Positive,Neutral,Positive,FALSE,TRUE
456,Negative,Neutral,Positive,FALSE,FALSE
457,Negative,Neutral,Negative,FALSE,TRUE
458,Positive,Positive,Positive,TRUE,TRUE
459,Positive,Positive,Positive,TRUE,TRUE
460,Negative,Negative,Negative,TRUE,TRUE
461,Negative,Negative,Negative,TRUE,TRUE
462,Negative,Negative,Negative,TRUE,TRUE
463,Negative,Neutral,Negative,FALSE,TRUE
464,Positive,Positive,Positive,TRUE,TRUE
465,Positive,Positive,Positive,TRUE,TRUE
466,Positive,Neutral,Positive,FALSE,TRUE
467,Positive,Neutral,Positive,FALSE,TRUE
468,Positive,Positive,Positive,TRUE,TRUE
469,Negative,Negative,Negative,TRUE,TRUE
470,Positive,Positive,Negative,TRUE,FALSE
471,Negative,Negative,Negative,TRUE,TRUE
472,Positive,Negative,Negative,FALSE,FALSE
473,Negative,Negative,Positive,TRUE,FALSE
474,Positive,Positive,Positive,TRUE,TRUE
475,Positive,Neutral,Positive,FALSE,TRUE
476,Positive,Positive,Negative,TRUE,FALSE
477,Positive,Neutral,Positive,FALSE,TRUE
478,Positive,Positive,Positive,TRUE,TRUE
479,Positive,Neutral,Negative,FALSE,FALSE
480,Positive,Positive,Positive,TRUE,TRUE
481,Positive,Positive,Negative,TRUE,FALSE
482,Positive,Neutral,Negative,FALSE,FALSE
483,Negative,Negative,Negative,TRUE,TRUE
484,Negative,Negative,Negative,TRUE,TRUE
485,Negative,Neutral,Negative,FALSE,TRUE
486,Positive,Neutral,Positive,FALSE,TRUE
487,Positive,Positive,Positive,TRUE,TRUE
488,Positive,Neutral,Negative,FALSE,FALSE
489,Neutral,Positive,Positive,FALSE,FALSE
490,Positive,Positive,Positive,TRUE,TRUE
491,Positive,Negative,Positive,FALSE,TRUE
492,Positive,Positive,Positive,TRUE,TRUE
493,Negative,Negative,Negative,TRUE,TRUE
494,Positive,Neutral,Positive,FALSE,TRUE
495,Positive,Positive,Positive,TRUE,TRUE
496,Negative,Neutral,Positive,FALSE,FALSE
497,Negative,Negative,Negative,TRUE,TRUE
498,Positive,Negative,Positive,FALSE,TRUE
499,Positive,Positive,Positive,TRUE,TRUE
500,Negative,Negative,Negative,TRUE,TRUE
501,Positive,Neutral,Positive,FALSE,TRUE
502,Positive,Positive,Positive,TRUE,TRUE
503,Negative,Negative,Negative,TRUE,TRUE
504,Negative,Neutral,Negative,FALSE,TRUE
505,Negative,Negative,Negative,TRUE,TRUE
506,Negative,Negative,Negative,TRUE,TRUE
507,Negative,Neutral,Positive,FALSE,FALSE
508,Positive,Neutral,Positive,FALSE,TRUE
509,Negative,Negative,Negative,TRUE,TRUE
510,Positive,Positive,Positive,TRUE,TRUE
511,Neutral,Neutral,Positive,TRUE,FALSE
512,Positive,Positive,Positive,TRUE,TRUE
513,Negative,Negative,Negative,TRUE,TRUE
514,Negative,Negative,Positive,TRUE,FALSE
515,Negative,Negative,Negative,TRUE,TRUE
516,Positive,Positive,Positive,TRUE,TRUE
517,Positive,Positive,Positive,TRUE,TRUE
518,Positive,Positive,Positive,TRUE,TRUE
519,Positive,Positive,Positive,TRUE,TRUE
520,Positive,Positive,Positive,TRUE,TRUE
521,Positive,Negative,Negative,FALSE,FALSE
522,Positive,Positive,Positive,TRUE,TRUE
523,Positive,Positive,Positive,TRUE,TRUE
524,Positive,Positive,Positive,TRUE,TRUE
525,Positive,Positive,Positive,TRUE,TRUE
526,Negative,Negative,Negative,TRUE,TRUE
527,Positive,Neutral,Positive,FALSE,TRUE
528,Positive,Positive,Positive,TRUE,TRUE
529,Neutral,Positive,Negative,FALSE,FALSE
530,Positive,Positive,Positive,TRUE,TRUE
531,Neutral,Negative,Negative,FALSE,FALSE
532,Positive,Positive,Positive,TRUE,TRUE
533,Negative,Negative,Negative,TRUE,TRUE
534,Positive,Positive,Positive,TRUE,TRUE
535,Positive,Negative,Negative,FALSE,FALSE
536,Negative,Neutral,Negative,FALSE,TRUE
537,Positive,Positive,Positive,TRUE,TRUE
538,Positive,Positive,Positive,TRUE,TRUE
539,Negative,Neutral,Negative,FALSE,TRUE
540,Positive,Positive,Negative,TRUE,FALSE
541,Negative,Negative,Negative,TRUE,TRUE
542,Negative,Negative,Negative,TRUE,TRUE
543,Positive,Positive,Positive,TRUE,TRUE
544,Positive,Positive,Negative,TRUE,FALSE
545,Positive,Neutral,Negative,FALSE,FALSE
546,Negative,Negative,Negative,TRUE,TRUE
547,Positive,Neutral,Positive,FALSE,TRUE
548,Negative,Negative,Negative,TRUE,TRUE
549,Negative,Negative,Negative,TRUE,TRUE
550,Positive,Negative,Negative,FALSE,FALSE
551,Positive,Positive,Positive,TRUE,TRUE
552,Positive,Positive,Positive,TRUE,TRUE
553,Negative,Negative,Negative,TRUE,TRUE
554,Positive,Positive,Positive,TRUE,TRUE
555,Positive,Positive,Positive,TRUE,TRUE
556,Positive,Positive,Positive,TRUE,TRUE
557,Positive,Positive,Positive,TRUE,TRUE
558,Negative,Negative,Negative,TRUE,TRUE
559,Positive,Positive,Positive,TRUE,TRUE
560,Positive,Neutral,Positive,FALSE,TRUE
561,Negative,Neutral,Negative,FALSE,TRUE
562,Positive,Positive,Positive,TRUE,TRUE
563,Positive,Positive,Negative,TRUE,FALSE
564,Negative,Negative,Negative,TRUE,TRUE
565,Negative,Neutral,Negative,FALSE,TRUE
566,Negative,Negative,Negative,TRUE,TRUE
567,Positive,Positive,Positive,TRUE,TRUE
568,Negative,Negative,Negative,TRUE,TRUE
569,Positive,Positive,Positive,TRUE,TRUE
570,Positive,Negative,Positive,FALSE,TRUE
571,Positive,Positive,Positive,TRUE,TRUE
572,Positive,Positive,Positive,TRUE,TRUE
